Subject,Platform Name,Platform URL,Platform Status,Production Readiness %,Key Features,Target Market,Value Proposition,Critical Gaps,Revenue Potential,Strategic Priority,Next Action,Error
jabulon.ai - AI safety R&D platform,Jabulon.ai,https://jabulon.ai,Down,,"AI Model Auditing, Bias Detection and Mitigation, Ethical AI Governance Tools, R&D Collaboration Platform","AI development companies, regulatory bodies, and academic research institutions focused on AI safety",It provides a centralized platform for research and development of robust AI safety and ethical governance frameworks.,"Platform is inaccessible (DNS error), No visible product or features, Lack of clear public documentation",£5K-£10K,High,Resolve DNS resolution error and bring the platform back online,
suicidestop.ai - Mental health intervention platform,CouncilOf.AI,https://suicidestop.ai,Pre-Launch,30,"Democratic AI Governance, Blockchain Verified, Real LLM Integration, Enterprise-Grade AI Safety, EU AI Act Compliance","Large enterprises, government agencies, and AI research labs requiring advanced, compliant AI governance solutions","It future-proofs an organization's AI strategy by providing the world's most advanced, democratic, and blockchain-verified AI governance system.","Domain/Brand Mismatch, No Product Demo/Proof of Concept, High Price for Pre-Launch",£5K-£15K,High,Redirect suicidestop.ai to councilof.ai and launch a functional product demo/MVP,
grabhire.ai - Equipment rental SaaS,GrabHire.ai,https://grabhire.ai/,MVP (Manus),70,"AI-powered instant quotes, Digital Waste Transfer Notes (DWT Ready), Driver Mobile App, Compliance Automation, Real-Time Dispatch",Grab hire operators and fleet managers in the United Kingdom,"GrabHire.ai is a complete SaaS platform that automates compliance, pricing, and dispatch for grab hire operators in the United Kingdom.","Lack of live booking functionality, non-functional top-level navigation links (AI Tools, Software), UK-only market scope",£2K-£8K,High,Implement the live booking and payment processing flow for the customer side,
muckaway.ai - Waste management SaaS,MuckAway.ai,https://muckaway.ai,Live,80,"AI Spoil Classification, Instant Carrier Quotes, Auto-Compliance Docs, Multi-Region/Multi-Framework Support, Fleet Management/Job Tracking","Construction companies, waste carriers, and recycling facilities in the UK and globally","MuckAway.ai is the complete AI-powered platform that handles construction waste and spoil management from quote to disposal, ensuring compliance and efficiency with zero paperwork.","Currency/Localization Bug (USD quote for UK postcode), Photo Upload Functionality is non-functional, Lack of visible carrier/recycling facility onboarding process",£30K-£50K,High,Fix the critical currency/localization bug to ensure quotes are in GBP for UK postcodes,
landlaw.ai - Legal compliance platform,LandLaw.ai,https://landlaw.ai,Live,75,"AI-Powered Legal Assistant, County-Specific Guidance, Real-Time Updates, Document Insights","Legal professionals, planning consultants, architects, and property developers","It provides instant, county-specific guidance on planning applications, building regulations, and land development with AI precision.","Non-functional AI demo, Lack of clear geographical scope on homepage, Prominent legal disclaimer needed",£10K-£30K,High,Fix the non-functional AI demo to allow for full feature testing and user onboarding,
optimobile.ai - Fleet management SaaS,OptiMobile,https://optimobile.ai,Live,85,"AI-Powered Scheduling & Route Optimization, Cloud-Based EHR, Automated NHS GOS Claims & Billing, Offline Mobile App",Domiciliary and independent optometry practices in the UK (NHS focus),"OptiMobile is the all-in-one, AI-powered, mobile-first practice management and EHR software that streamlines workflows and automates NHS GOS claims for optometry professionals.","Overly narrow focus on domiciliary care, Lack of a clear public product demo, UK-centric pricing and NHS GOS focus",£15K-£30K,High,"Implement the strategic pivot to broaden the website's focus to general opticians, clearly presenting mobile as a feature, not the sole market",
fishkeeper.ai - Aquarium management SaaS,FishKeeper.ai,https://fishkeeper.ai,Live,85,"AI Disease Detection, 24/7 AI Expert Chat, Multi-Tank Management, White-Label API",Aquarium hobbyists and commercial fish stores/breeders,FishKeeper.ai provides AI-powered fish disease diagnosis with 98% accuracy in 60 seconds to prevent fish loss and reduce treatment costs.,"Core features unverified due to sign-in wall, inconsistent currency display, extensive feature list unverified",£10K-£25K,High,Implement Rewardful affiliate system and fix currency display inconsistency,
koikeeper.ai - Koi pond management SaaS,KoiKeeper.ai,https://koikeeper.ai,Live,95,"AI-Powered Health Analysis, Natural Language Pond Management (AI Chat), Gamified Maintenance Tracking, Koi Variety ID and Quality Scoring, Complete Pond Dashboard","Serious koi hobbyists, enthusiasts, and professional breeders/collectors","KoiKeeper.ai provides a complete AI-powered koi pond management system, replacing manual tracking and providing expert-level health and quality analysis for a fraction of the cost of a human consultant.","Seasonal market timing (Koi is out of season), Limited free AI tokens, Need to integrate Rewardful affiliate system",£5K-£10K,Medium,Implement the Rewardful affiliate system on koikeeper.ai to align with the monetization strategy for aquatic platforms.,
pokerhud.ai - Poker analytics SaaS,PokerHUD.ai,https://pokerhud.ai/,Pre-Launch,70,"Cloud-synced Mobile HUD, AI Coaching & Session Recaps, Automatic Compliance, Leak-fixing Practice Drills, Creator Mode","Online poker players (recreational to semi-pro) seeking a modern, compliant, AI-driven Heads-Up Display (HUD) and coaching solution","PokerHUD.ai provides a modern, cloud-synced, and AI-powered Heads-Up Display and coaching platform that helps online poker players improve their win rate while ensuring compliance with poker room rules","Pricing page is non-functional, Demo video is missing, Product is marketed as ""Built for 2026"" suggesting a future launch date",£10K-£30K,High,Fix the broken /pricing page and upload the 90-second demo video,
planthire.ai - Plant rental SaaS,PlantHire.ai,https://planthire.ai,Live,85,"AI-Powered Equipment Matching, Complete Fleet Management SaaS, Automated Compliance & Maintenance, Instant Accurate Quotes, Secure Booking & GPS Tracking",B2B construction contractors and plant hire companies,"PlantHire.ai is an AI-powered marketplace and SaaS platform that automates equipment matching, booking, compliance, and fleet management for construction contractors and plant hire companies, promising 20% lower costs and 37% revenue increase.","Limited supplier/country network (1 of each), Incomplete localization (mixed English/Spanish UI), Core AI is a highly convincing demo, not a live transaction",£25K-£75K,High,Focus all sales and marketing efforts on onboarding a minimum of 10 verified plant hire companies in the primary target region (UK or US) to validate the marketplace model,
loopfactory.ai - AI agent platform,LoopFactory.ai,https://loopfactory.ai,Pre-Launch,40,"AI Agent Marketplace, No-code Agent Builder, Instant 30-second Agent Deployment, Monetization for Agent Creators","Businesses and individuals seeking specialized, no-code AI agents for niche industry automation","LoopFactory.ai provides an instant, no-code marketplace for specialized AI agents, drastically reducing the time and cost of deploying AI solutions.","Empty agent marketplace, unverified agent builder functionality, lack of a clear, live demo agent",£3K-£10K,High,"Deploy the user's existing portfolio of niche AI agents (e.g., Plant Hire AI, OptiMobile AI) to the LoopFactory.ai marketplace",
commercialvehicle.ai - Vehicle management SaaS,CommercialVehicle.AI,https://commercialvehicle.ai,Pre-Launch,30,"Smart Marketplace, Fleet Analytics, AI-Powered Intelligence, Secure Transactions, Global Network",Fleet managers and dealers (SMBs to enterprise fleets),"The platform allows users to buy, sell, and manage commercial vehicles globally with intelligent insights, all in one AI-powered platform.","Core SaaS functionality is inaccessible/untested, Landing page search functionality is non-functional, Platform is currently a marketing shell with a login wall",£20K-£50K,High,"Implement and test the core SaaS features (Marketplace, Fleet Analytics, AI Tools) and open them for public beta or demo",
valuationof.ai - IP valuation platform,valuationof.ai,https://valuationof.ai,Down,,"AI-powered IP valuation, Patent analysis, Brand value assessment, Valuation report generation","Intellectual property holders, startups, investors, and M&A professionals seeking IP valuation","It provides an AI-driven, real-time valuation of intellectual property assets to inform strategic business decisions.","Domain name not resolving (net::ERR_NAME_NOT_RESOLVED), Platform is inaccessible, No visible features to test",£10K-£30K,High,Investigate and resolve DNS resolution failure for valuationof.ai to bring the platform online,
